z1-0.00084 zend-0.02602	60% between diff
1.00000	-0.00084
0.96503	0.00452
0.89510	0.01524
0.82517	0.02594
0.75524	0.03666
0.68531	0.04741
0.61538	0.05809
0.54545	0.06880
0.47552	0.07888
0.40559	0.08465
0.33566	0.08657
0.30070	0.08622
0.26573	0.08552
0.23077	0.08377
0.19580	0.08133
0.16084	0.07783
0.12587	0.07258
0.09091	0.06419
0.05594	0.05191
0.02098	0.03332
0.00350	0.01419
0.00000	0.00000
0.00350	-0.01258
0.02098	-0.02217
0.05594	-0.02520
0.09091	-0.02602
0.12663	-0.02602
0.16060	-0.02602
0.19740	-0.02602
0.23136	-0.02602
0.26720	-0.02602
0.30114	-0.02602
0.33227	-0.02602
0.39645	-0.02602
0.46719	-0.02602
0.53606	-0.02602
0.60115	-0.02602
0.67662	-0.02602
0.74833	-0.02602
0.81626	-0.02602
0.88604	-0.02602
0.96341	-0.02602
1.00000	-0.02602
